model,comparison,pairs,composite_score_delta_mean,composite_score_delta_sd,use_case_recall_delta_mean,use_case_recall_delta_sd,path_fidelity_delta_mean,path_fidelity_delta_sd,unsupported_feature_rate_delta_mean,unsupported_feature_rate_delta_sd,elapsed_sec_delta_mean,elapsed_sec_delta_sd
gemma3:4b,readme_plus_code_minus_readme_only,16,4.962887484681964,13.416172949240728,0.07039452581731992,0.1993366336925198,0.05515950319521748,0.08964478333028363,-0.08020833333333333,0.2850743080516221,7.994,3.274177555763686
gemma3:4b,full_minus_readme_plus_code,16,0.16544656145207615,11.796953049271387,0.009973941499676798,0.15336527469117237,0.038436952432488146,0.13212244076458027,0.061582341269841266,0.20902062086119708,1.3351875,2.7669604796298293
gemma3:4b,readme_plus_code_minus_file_tree,16,11.122635007724343,15.712301812587627,0.14562358597285063,0.24845446585740102,-0.0018219181612038784,0.13165371264938694,-0.18437499999999998,0.2716014747955377,7.639249999999999,4.448867938401109
gemma3:4b,routes_minus_file_tree,16,2.0864576461696904,20.467923511217894,-0.016784838935574233,0.3411809555447796,0.03733709866522367,0.14561343005451702,-0.04985795454545453,0.3006941793537833,4.8350625,4.370543207562038
gemma3:4b,models_minus_file_tree,16,1.2950053308998188,8.704531124806453,0.0402249405006758,0.14220021656627307,-0.05240034271284271,0.08310709230022346,0.018750000000000017,0.25913853009110355,3.1057499999999996,3.081669212185716
granite3.2-vision:latest,readme_plus_code_minus_readme_only,16,-5.58107642996205,14.828177132330804,-0.023765756302521007,0.2072730133564243,0.035416666666666666,0.12807332968958748,-0.3705357142857143,0.36559121296363334,7.55575,6.482481608149768
granite3.2-vision:latest,full_minus_readme_plus_code,16,3.7908908109497768,12.334949893648993,0.045718864468864466,0.20045787545787547,0.005877976190476192,0.15659202927922877,0.045163690476190475,0.3680402196993239,0.38431249999999983,7.528311034300234
granite3.2-vision:latest,readme_plus_code_minus_file_tree,16,-3.5523790575194516,16.829412430156765,-0.019730728829993535,0.24953495767421513,0.022395833333333337,0.2529587645725565,-0.35379464285714285,0.4499725402619541,7.808812499999999,6.7396925668633685
granite3.2-vision:latest,routes_minus_file_tree,16,-0.2590646592633369,15.869349435652786,0.0017321832579185476,0.2371811579162445,-0.024826388888888884,0.19047662967045928,-0.21473214285714284,0.4195651734918619,4.46525,4.839728098423161
granite3.2-vision:latest,models_minus_file_tree,16,-1.8959151378176244,12.024875849829296,-0.038862179487179495,0.18782115092800214,-0.018774801587301583,0.17327032880347223,-0.08698593073593072,0.6329310385714144,4.70325,5.878396090771699
llama3.2-vision:11b,readme_plus_code_minus_readme_only,16,8.578840743956674,10.812459681075813,0.034241340767076064,0.22232505879070286,0.17831807659932664,0.14358336438762676,-0.0968253968253968,0.31544043256801785,17.5991875,10.887991900675104
llama3.2-vision:11b,full_minus_readme_plus_code,16,-5.955371639472517,13.049580711710318,-0.04686725651799182,0.16204016702998325,-0.024683591871091873,0.13942999072559728,0.07529761904761904,0.19536750453741306,6.504437500000001,6.127236701469377
llama3.2-vision:11b,readme_plus_code_minus_file_tree,16,16.66306840310289,11.208930167159798,0.08920402514152516,0.1605954403089072,0.14891579485329487,0.18414601967100355,-0.32234623015873015,0.24462826004461313,16.576749999999997,9.668978653404919
llama3.2-vision:11b,routes_minus_file_tree,16,8.014374765658424,12.679353669263167,0.018874354811854826,0.21681309684089334,0.06826839826839828,0.1744398487981244,-0.21666666666666667,0.2546461274116717,9.4919375,10.493797536124216
llama3.2-vision:11b,models_minus_file_tree,16,7.9438632624010985,10.15068980011063,0.036174762737262736,0.18421355473734244,0.0032118055555555598,0.14922570055527545,-0.18663194444444442,0.22894510894867928,7.578374999999999,6.363041137433159
llama3.2:3b,readme_plus_code_minus_readme_only,16,-2.4477069563405434,14.86067201444212,-0.02060283466533466,0.16717085373794796,0.04941265331890332,0.15999472240011964,-0.024100378787878796,0.43578811858183514,7.313187500000001,5.766866627193084
llama3.2:3b,full_minus_readme_plus_code,16,-5.424463558280526,18.702030538377493,-0.06934771723374665,0.20219630997323862,0.0037991522366522335,0.15981637840730448,0.15850694444444446,0.4034005004143747,0.6259999999999998,4.946358242855714
llama3.2:3b,readme_plus_code_minus_file_tree,16,8.256137484435621,15.11057303507131,0.08596553568980039,0.2533573508107903,0.021064439033189032,0.1734379447498294,-0.2855587121212121,0.3485033203852471,6.438062499999999,5.32391865037712
llama3.2:3b,routes_minus_file_tree,16,3.683889171068696,15.06306931391444,-0.0047416125541125485,0.2587295061941791,0.06186361381673881,0.2244138296778836,-0.046403769841269836,0.28592134871749497,1.4661250000000001,2.2366850731979833
llama3.2:3b,models_minus_file_tree,16,6.058304342919853,13.53754874601048,0.03159652847152849,0.17141319305323693,0.012537202380952382,0.14127387669519456,-0.13286210317460317,0.2988130974564439,1.254375,2.3098126006236956
qwen2.5-coder:1.5b,readme_plus_code_minus_readme_only,16,0.8479312426058232,12.700718460322609,0.02547134238310709,0.18119353903455526,0.08219358766233767,0.12528325993701622,-0.10346320346320345,0.3702743867805589,3.2498124999999995,2.275572901307859
qwen2.5-coder:1.5b,full_minus_readme_plus_code,16,-2.910789647631895,10.997214949963594,-0.01858974358974359,0.24317384648495577,0.03620564703153988,0.12513861478420815,0.034192370129870135,0.32832988055858825,0.6852499999999999,0.8910956177650072
qwen2.5-coder:1.5b,readme_plus_code_minus_file_tree,16,5.018632514704029,13.42265907764765,0.04563087035513506,0.16667465201787382,0.03900162337662338,0.12216445949956456,-0.27191558441558444,0.4160970525997651,3.392625,2.8313472382124614
qwen2.5-coder:1.5b,routes_minus_file_tree,16,6.6584156233433855,18.33876443554488,0.04046045865898807,0.20208071738969252,0.053683035714285704,0.08162329515415852,-0.2175595238095238,0.456908732209356,1.5287499999999998,2.297227009534176
qwen2.5-coder:1.5b,models_minus_file_tree,16,3.8233386058758403,19.13708110257017,-0.0010573984838690691,0.20472802368262188,0.08159722222222222,0.17574864013446104,-0.06250000000000001,0.41526999477004284,1.57675,2.129636385238882
qwen2.5-coder:14b,readme_plus_code_minus_readme_only,16,12.213324339642352,24.66108905830833,0.1048387886623181,0.3827306080093605,0.19157216832440047,0.15297050972362933,0.021354166666666674,0.4314914782858792,29.491125,11.1040661493887
qwen2.5-coder:14b,full_minus_readme_plus_code,16,2.923464282290116,6.547098928508312,0.035672079146343856,0.1461082089255647,0.044510420961313815,0.10391372196935857,-0.027455357142857142,0.1479262476536803,5.501624999999999,4.121949358818793
qwen2.5-coder:14b,readme_plus_code_minus_file_tree,16,17.17340136942272,15.151481882080576,0.23452022854596388,0.2945229380456974,0.15483605184498042,0.18836100753819376,-0.040624999999999994,0.3009533463290725,29.691125,15.844501438985072
qwen2.5-coder:14b,routes_minus_file_tree,16,17.160330827018136,14.704817434119724,0.2508189114806762,0.2964309065553668,0.13747851065931424,0.1130269181037988,-0.017187499999999994,0.3084529610275555,16.180687499999998,12.090135724183028
qwen2.5-coder:14b,models_minus_file_tree,16,9.696764524799564,16.94428534755671,0.21354628827055297,0.322729586691869,0.07975170497491926,0.1721873409092956,0.07991071428571428,0.3402976763120803,18.357437500000003,13.15665536509311
qwen2.5-coder:3b,readme_plus_code_minus_readme_only,16,9.73349653844606,21.911446404004856,0.13815605350531823,0.3038688468284995,0.17995964105339105,0.18271361651730314,-0.09970238095238093,0.35627473856899206,5.880125,2.978068364449234
qwen2.5-coder:3b,full_minus_readme_plus_code,16,-4.263832173060989,12.006286758232552,-0.04605596609273081,0.22778576011481036,-0.041042587331649824,0.1429078707292203,0.06498015873015874,0.2010764837830666,1.516,2.9909726623068065
qwen2.5-coder:3b,readme_plus_code_minus_file_tree,16,13.481560496977801,19.997698829054446,0.09950732478306008,0.21675972069352872,0.1252020202020202,0.17687374748978268,-0.17313988095238095,0.26798743524248636,5.180750000000001,3.8088337585145404
qwen2.5-coder:3b,routes_minus_file_tree,16,1.2684367429683117,17.100364513172565,-0.06438503285929756,0.2553312461172048,0.09902131433381431,0.185670489037313,-0.052008928571428574,0.3321184546847357,2.2805000000000004,2.5821163154797393
qwen2.5-coder:3b,models_minus_file_tree,16,4.634753389174027,17.01745481368798,0.040653739642710233,0.2611379377030994,0.05570526695526695,0.1806211777414554,-0.010044642857142856,0.26765617460862445,3.3591875,3.083703514039571
qwen2.5-coder:7b,readme_plus_code_minus_readme_only,16,3.131840043184803,10.41470686466427,0.03623934276507806,0.14768988903209465,0.15570620104102245,0.08161814484144578,-0.11458333333333333,0.24790791301072526,11.964375,5.925916220298766
qwen2.5-coder:7b,full_minus_readme_plus_code,16,0.15998325781071254,10.074183495315662,0.027531261630526337,0.15800735007476346,0.044859017470624624,0.0692437033418299,0.015624999999999997,0.24768271274046597,2.5221875000000002,4.464815012498652
qwen2.5-coder:7b,readme_plus_code_minus_file_tree,16,9.930080194869097,14.610230286298158,0.14285610223110223,0.23520032403130514,0.09315772521129664,0.1406674394820486,-0.28645833333333337,0.32054460312504496,12.555125,6.430204899534695
qwen2.5-coder:7b,routes_minus_file_tree,16,9.138936788190192,11.415134780649629,0.13660448007874476,0.23764194225958055,0.151148802008177,0.10825428672599963,-0.21614583333333334,0.31594169571709363,5.575000000000001,5.709407149608443
qwen2.5-coder:7b,models_minus_file_tree,16,4.080333095316522,9.762864128382953,0.08090041086364616,0.22812502318329908,0.04165467923280423,0.14956436262986725,-0.17953869047619048,0.35388653553915167,6.024625,5.270292539318857
qwen2.5:3b,readme_plus_code_minus_readme_only,16,-0.28298900027969187,16.448155079258743,0.008718824068088788,0.29428330743722414,0.05349116698447055,0.13748329582670765,0.02187499999999999,0.30842903920062753,6.656875,3.1871800466870397
qwen2.5:3b,full_minus_readme_plus_code,16,-4.146307581513617,13.800883583705179,-0.05208333333333333,0.22381343932235567,-0.00463812766268124,0.14545711861812713,-0.0011904761904761897,0.2726393213505441,2.0811875,2.7009145665558054
qwen2.5:3b,readme_plus_code_minus_file_tree,16,5.086720253709258,15.194742556864428,0.10925174702748235,0.2611476449172589,0.06522122264309764,0.11003680493040893,-0.07135416666666666,0.27219901403337365,7.202499999999999,5.203493582840922
qwen2.5:3b,routes_minus_file_tree,16,0.7556026178831546,14.5772863190935,0.06181572716499187,0.28853417898406314,0.10153318903318904,0.1342045162538508,0.022321428571428575,0.38972719008410756,3.617375,4.263095242895706
qwen2.5:3b,models_minus_file_tree,16,-2.0766683863613764,13.98120443834577,0.053191722493193073,0.299581220814084,0.024257079725829724,0.07563045841821098,0.12760416666666669,0.24119146286562312,5.0439375,3.865485695549784
qwen2.5vl:3b,readme_plus_code_minus_readme_only,16,4.295294000574969,15.211634253312845,-0.002686896436896423,0.24731423231460714,0.13139942956349204,0.18215764835551845,-0.16842757936507938,0.28968967769527054,11.1396875,5.726416200018415
qwen2.5vl:3b,full_minus_readme_plus_code,16,0.4423953986246393,9.897496712883243,0.02468891402714932,0.17086675561341697,0.014964657738095237,0.22309973230371813,-0.10334821428571428,0.22012983986780793,7.3689374999999995,7.452432242507586
qwen2.5vl:3b,readme_plus_code_minus_file_tree,16,8.48784160952032,19.36592885944598,0.0805308661926309,0.26374379134297654,-0.016894221230158737,0.2528465713544717,-0.23814484126984128,0.41343086902081905,11.9446875,7.628217299113864
qwen2.5vl:3b,routes_minus_file_tree,16,3.8407891401633063,15.85116160579204,0.05313644688644688,0.2648123217965717,-0.05206162389198103,0.255528389537358,-0.20143849206349207,0.5503566621685873,8.104187499999998,8.404273882723796
qwen2.5vl:3b,models_minus_file_tree,16,-2.2539223399285495,15.866503197989065,-0.025669183757419056,0.24303650917920377,-0.07666501322751323,0.20429668049829255,0.02586805555555556,0.4306251063896373,7.1255625,5.549619301883088
pooled,readme_plus_code_minus_readme_only,16,3.545184200651036,9.29119870502183,0.03710047305635542,0.15275326349082977,0.11126290944092283,0.0803026805299218,-0.10146171536796537,0.15417876890952661,10.8844125,4.352871305222949
pooled,full_minus_readme_plus_code,16,-1.5218584288832235,5.993284092086285,-0.008935895599498547,0.08781435823777482,0.011828951719576722,0.055096190999338525,0.03233540764790764,0.07723312006977291,2.8525125,2.520027576800169
pooled,readme_plus_code_minus_file_tree,16,9.166769827694665,7.551424417634048,0.10133595571095572,0.14914102806310153,0.06510785711064729,0.08950133925583205,-0.22277123917748914,0.1303430549496708,10.84296875,5.348627193927895
pooled,routes_minus_file_tree,16,5.234816866319996,8.035412226341066,0.04775310779906368,0.16615386500210372,0.06334459497182712,0.06274316726854227,-0.12096793831168831,0.17093126670198794,5.754487500000001,4.427999271435501
pooled,models_minus_file_tree,16,3.130585668727917,8.43267345012866,0.04306996312511019,0.13766892366766298,0.015087480351989275,0.06012319841371299,-0.04064303751803749,0.15723897945074708,5.812925,3.3239438750777164
