project,repository_folder,repository_url,actor,use_case_name,level,description,main_flow,code_paths,api_paths,test_paths,evidence,annotator,review_status
Spring PetClinic,spring-projects__spring-petclinic,https://github.com/spring-projects/spring-petclinic,Clinic Staff,Find owners,summary,Clinic staff searches for owners by last name and opens matching owner records,Open find owners page | enter last name | submit search | inspect matching owners,src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java | src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java | src/main/resources/templates/owners/findOwners.html | src/main/resources/templates/owners/ownersList.html,/owners/find,,,codex_external,checked
Spring PetClinic,spring-projects__spring-petclinic,https://github.com/spring-projects/spring-petclinic,Clinic Staff,Create owner,summary,Clinic staff registers a new pet owner with contact information,Open new owner form | enter owner details | submit | view created owner record,src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java | src/main/java/org/springframework/samples/petclinic/owner/Owner.java | src/main/resources/templates/owners/createOrUpdateOwnerForm.html,/owners/new,,,codex_external,checked
Spring PetClinic,spring-projects__spring-petclinic,https://github.com/spring-projects/spring-petclinic,Clinic Staff,Update owner details,summary,Clinic staff edits an existing owner's address or contact information,Open owner details | choose edit owner | update fields | save changes,src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java | src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java | src/main/resources/templates/owners/createOrUpdateOwnerForm.html,/owners/{ownerId}/edit,,,codex_external,checked
Spring PetClinic,spring-projects__spring-petclinic,https://github.com/spring-projects/spring-petclinic,Clinic Staff,Add pet to owner,summary,Clinic staff adds a pet profile under an owner record,Open owner details | choose add pet | enter pet name birth date and type | save pet,src/main/java/org/springframework/samples/petclinic/owner/PetController.java | src/main/java/org/springframework/samples/petclinic/owner/Pet.java | src/main/java/org/springframework/samples/petclinic/owner/PetTypeRepository.java | src/main/resources/templates/pets/createOrUpdatePetForm.html,/owners/{ownerId}/pets/new,,,codex_external,checked
Spring PetClinic,spring-projects__spring-petclinic,https://github.com/spring-projects/spring-petclinic,Clinic Staff,Record pet visit,summary,Clinic staff records a veterinary visit for a pet,Open owner and pet details | choose add visit | enter visit date and description | save visit,src/main/java/org/springframework/samples/petclinic/owner/VisitController.java | src/main/java/org/springframework/samples/petclinic/owner/Visit.java | src/main/resources/templates/pets/createOrUpdateVisitForm.html,/owners/{ownerId}/pets/{petId}/visits/new,,,codex_external,checked
Spring PetClinic,spring-projects__spring-petclinic,https://github.com/spring-projects/spring-petclinic,Clinic Staff,List veterinarians,summary,Clinic staff views veterinarians and specialties,Open veterinarians page | browse vet list and specialties,src/main/java/org/springframework/samples/petclinic/vet/VetController.java | src/main/java/org/springframework/samples/petclinic/vet/VetRepository.java | src/main/resources/templates/vets/vetList.html,/vets.html,,,codex_external,checked
RealWorld Spring API,gothinkster__spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app,Visitor,Register account,summary,Visitor creates a new account for the publishing platform,Submit username email and password | validate uniqueness | create user | receive token,src/main/java/io/spring/api/UsersApi.java | src/main/java/io/spring/application/user/UserService.java | src/main/java/io/spring/application/user/RegisterParam.java | src/main/java/io/spring/core/user/User.java,POST /users,,,codex_external,checked
RealWorld Spring API,gothinkster__spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app,User,Authenticate current user,summary,User logs in and retrieves an authenticated current-user representation,Submit credentials | validate password | generate JWT | return current user with token,src/main/java/io/spring/api/UsersApi.java | src/main/java/io/spring/api/CurrentUserApi.java | src/main/java/io/spring/core/service/JwtService.java | src/main/java/io/spring/application/data/UserWithToken.java,POST /users/login | GET /user,,,codex_external,checked
RealWorld Spring API,gothinkster__spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app,Author,Create article,summary,Authenticated author publishes an article with title body description and tags,Submit article payload | validate slug uniqueness | persist article | return article data,src/main/java/io/spring/api/ArticlesApi.java | src/main/java/io/spring/application/article/ArticleCommandService.java | src/main/java/io/spring/application/article/NewArticleParam.java | src/main/java/io/spring/core/article/Article.java,POST /articles,,,codex_external,checked
RealWorld Spring API,gothinkster__spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app,Reader,Browse articles,summary,Reader lists articles using author tag favorite or pagination filters,Request article list | apply query filters | return paginated articles,src/main/java/io/spring/api/ArticlesApi.java | src/main/java/io/spring/application/ArticleQueryService.java | src/main/resources/mapper/ArticleReadService.xml,GET /articles,,,codex_external,checked
RealWorld Spring API,gothinkster__spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app,Reader,Comment on article,summary,Authenticated reader adds and manages comments on an article,Open article | submit comment | store comment against article and author | list comments,src/main/java/io/spring/api/CommentsApi.java | src/main/java/io/spring/core/comment/Comment.java | src/main/java/io/spring/core/comment/CommentRepository.java | src/main/resources/mapper/CommentMapper.xml,POST /articles/{slug}/comments | GET /articles/{slug}/comments,,,codex_external,checked
RealWorld Spring API,gothinkster__spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app,Reader,Follow profile and favorite article,summary,Reader follows another author profile and marks articles as favorites,Open profile or article | follow author or favorite article | persist relationship | return updated profile or article,src/main/java/io/spring/api/ProfileApi.java | src/main/java/io/spring/api/ArticleFavoriteApi.java | src/main/java/io/spring/core/user/FollowRelation.java | src/main/java/io/spring/core/favorite/ArticleFavorite.java,POST /profiles/{username}/follow | POST /articles/{slug}/favorite,,,codex_external,checked
InvoicePlane,InvoicePlane__InvoicePlane,https://github.com/InvoicePlane/InvoicePlane,Billing User,Manage clients,summary,Billing user creates edits views and searches client records,Open clients module | create or edit client details | save | view client profile,application/modules/clients/controllers/Clients.php | application/modules/clients/controllers/Ajax.php | application/modules/clients/models/Mdl_clients.php | application/modules/clients/views/form.php,clients/form | clients/view,,,codex_external,checked
InvoicePlane,InvoicePlane__InvoicePlane,https://github.com/InvoicePlane/InvoicePlane,Billing User,Create invoice,summary,Billing user creates an invoice for a client and adds invoice items,Open invoice creation modal | select client | create invoice | add line items | save totals,application/modules/invoices/controllers/Invoices.php | application/modules/invoices/controllers/Ajax.php | application/modules/invoices/models/Mdl_invoices.php | application/modules/invoices/models/Mdl_items.php | application/modules/invoices/views/modal_create_invoice.php,invoices/create | invoices/view,,,codex_external,checked
InvoicePlane,InvoicePlane__InvoicePlane,https://github.com/InvoicePlane/InvoicePlane,Billing User,Convert quote to invoice,summary,Billing user turns an accepted quote into an invoice,Open quote | choose quote-to-invoice action | create linked invoice | review generated invoice,application/modules/quotes/controllers/Quotes.php | application/modules/quotes/models/Mdl_quotes.php | application/modules/quotes/views/modal_quote_to_invoice.php | application/modules/invoices/models/Mdl_invoices.php,quotes/view | quotes/ajax/modal_quote_to_invoice,,,codex_external,checked
InvoicePlane,InvoicePlane__InvoicePlane,https://github.com/InvoicePlane/InvoicePlane,Billing User,Record payment,summary,Billing user records a payment against an invoice,Open payments form or invoice payment modal | enter amount method and date | save payment | update invoice balance,application/modules/payments/controllers/Payments.php | application/modules/payments/controllers/Ajax.php | application/modules/payments/models/Mdl_payments.php | application/modules/payments/views/modal_add_payment.php,payments/form | payments/ajax/modal_add_payment,,,codex_external,checked
InvoicePlane,InvoicePlane__InvoicePlane,https://github.com/InvoicePlane/InvoicePlane,Billing User,Manage products and tasks,summary,Billing user maintains reusable products and project tasks for billing,Open product or task module | create or edit catalog entry | use item in billing workflow,application/modules/products/controllers/Products.php | application/modules/products/models/Mdl_products.php | application/modules/tasks/controllers/Tasks.php | application/modules/tasks/models/Mdl_tasks.php,products/form | tasks/form,,,codex_external,checked
InvoicePlane,InvoicePlane__InvoicePlane,https://github.com/InvoicePlane/InvoicePlane,Administrator,Configure invoice settings,summary,Administrator configures invoice quote payment tax and email settings,Open settings | update invoice quote payment or tax settings | save configuration,application/modules/settings/controllers/Settings.php | application/modules/settings/models/Mdl_settings.php | application/modules/settings/views/partial_settings_invoices.php | application/modules/settings/views/partial_settings_online_payment.php,settings,,,codex_external,checked
Kimai,kimai__kimai,https://github.com/kimai/kimai,User,Record timesheet entry,summary,User starts or creates a timesheet entry against project and activity,Open timesheet | create or start entry | choose project activity and time | save entry,src/Controller/TimesheetController.php | src/Controller/TimesheetAbstractController.php | src/Form/TimesheetEditForm.php | src/Repository/TimesheetRepository.php,timesheet,,,codex_external,checked
Kimai,kimai__kimai,https://github.com/kimai/kimai,User,Use quick entry,summary,User creates multiple time entries through the quick-entry workflow,Open quick entry | enter several project activity time rows | submit batch,src/Controller/QuickEntryController.php | src/Form/Type/QuickEntryTimesheetType.php | src/Validator/Constraints/QuickEntryTimesheetValidator.php,quick_entry,,,codex_external,checked
Kimai,kimai__kimai,https://github.com/kimai/kimai,Manager,Manage customers projects and activities,summary,Manager maintains customers projects and activities used for time tracking,Open customer project or activity module | create or edit entity | assign visibility and teams,src/Controller/CustomerController.php | src/Controller/ProjectController.php | src/Controller/ActivityController.php | src/Repository/CustomerRepository.php | src/Repository/ProjectRepository.php | src/Repository/ActivityRepository.php,admin/customer | admin/project | admin/activity,,,codex_external,checked
Kimai,kimai__kimai,https://github.com/kimai/kimai,Manager,Export timesheet data,summary,Manager exports filtered timesheet records for reporting or billing,Open export | filter by date user project or customer | choose export renderer | download output,src/Controller/ExportController.php | src/Form/Toolbar/TimesheetToolbarForm.php | src/Repository/Query/ExportQuery.php | src/Form/Type/ExportRendererType.php,export,,,codex_external,checked
Kimai,kimai__kimai,https://github.com/kimai/kimai,Manager,Generate invoice,summary,Manager creates invoices from tracked billable time,Open invoice module | filter billable records | choose template/calculator | generate invoice,src/Controller/InvoiceController.php | src/Form/InvoiceEditForm.php | src/Repository/InvoiceRepository.php | src/Repository/TimesheetInvoiceItemRepository.php,invoice,,,codex_external,checked
Kimai,kimai__kimai,https://github.com/kimai/kimai,Administrator,Manage users and permissions,summary,Administrator creates users assigns roles and adjusts permissions,Open user or permission module | create or edit account | assign roles or permissions | save,src/Controller/UserController.php | src/Controller/PermissionController.php | src/Form/UserCreateType.php | src/Form/UserRolesType.php | src/Repository/UserRepository.php,admin/user | admin/permissions,,,codex_external,checked
Firefly III,firefly-iii__firefly-iii,https://github.com/firefly-iii/firefly-iii,User,Manage financial accounts,summary,User creates edits and reconciles asset liability expense or revenue accounts,Open accounts | create or edit account | reconcile balances when needed,app/Http/Controllers/Account/IndexController.php | app/Http/Controllers/Account/CreateController.php | app/Http/Controllers/Account/EditController.php | app/Http/Controllers/Account/ReconcileController.php | app/Repositories/Account/AccountRepository.php,accounts | accounts/create | accounts/{id}/edit,,,codex_external,checked
Firefly III,firefly-iii__firefly-iii,https://github.com/firefly-iii/firefly-iii,User,Create transaction,summary,User records withdrawal deposit or transfer transactions,Open transaction form | enter source destination amount category and date | store transaction,app/Http/Controllers/Transaction/CreateController.php | app/Http/Controllers/Transaction/EditController.php | app/Http/Controllers/Transaction/IndexController.php | app/Repositories/TransactionGroup/TransactionGroupRepository.php,transactions/create | transactions/{id}/edit,,,codex_external,checked
Firefly III,firefly-iii__firefly-iii,https://github.com/firefly-iii/firefly-iii,User,Manage budgets,summary,User creates budgets and budget limits to plan spending,Open budgets | create or edit budget | set budget limit | view budget report,app/Http/Controllers/Budget/IndexController.php | app/Http/Controllers/Budget/CreateController.php | app/Http/Controllers/Budget/BudgetLimitController.php | app/Repositories/Budget/BudgetRepository.php,budgets | budgets/create,,,codex_external,checked
Firefly III,firefly-iii__firefly-iii,https://github.com/firefly-iii/firefly-iii,User,Track bills,summary,User creates recurring bills and views bill due information,Open bills | create or edit bill | inspect bill report or chart,app/Http/Controllers/Bill/IndexController.php | app/Http/Controllers/Bill/CreateController.php | app/Http/Controllers/Bill/EditController.php | app/Repositories/Bill/BillRepository.php,bills | bills/create,,,codex_external,checked
Firefly III,firefly-iii__firefly-iii,https://github.com/firefly-iii/firefly-iii,User,Automate transaction rules,summary,User creates rule groups and rules to modify matching transactions automatically,Open rule groups or rules | define triggers and actions | test or execute rules,app/Http/Controllers/Rule/CreateController.php | app/Http/Controllers/Rule/EditController.php | app/Http/Controllers/RuleGroup/CreateController.php | app/TransactionRules/Actions/SetCategory.php | app/Repositories/Rule/RuleRepository.php,rules | rule-groups,,,codex_external,checked
Firefly III,firefly-iii__firefly-iii,https://github.com/firefly-iii/firefly-iii,User,View financial reports,summary,User generates reports for accounts budgets bills categories tags or balances,Open reports | choose date range and dimensions | view charts or report pages,app/Http/Controllers/ReportController.php | app/Http/Controllers/Report/BudgetController.php | app/Http/Controllers/Report/AccountController.php | app/Http/Controllers/Chart/ReportController.php,reports,,,codex_external,checked
Koel,koel__koel,https://github.com/koel/koel,Listener,Search and browse music library,summary,Listener searches songs artists albums and genres in the music library,Open library or search | query songs artists albums or genres | browse returned media,app/Http/Controllers/API/SongSearchController.php | app/Http/Controllers/API/ExcerptSearchController.php | app/Repositories/SongRepository.php | app/Models/Song.php,api/search | api/songs,,,codex_external,checked
Koel,koel__koel,https://github.com/koel/koel,Listener,Play or stream song,summary,Listener plays a song or streams audio through the web or Subsonic interface,Choose song | request play or stream endpoint | receive audio stream | update playback status,app/Http/Controllers/PlayController.php | app/Http/Controllers/API/RegisterPlayController.php | app/Http/Controllers/API/UpdatePlaybackStatusController.php | app/Http/Controllers/Subsonic/StreamController.php,play/{song} | api/play | rest/stream.view,,,codex_external,checked
Koel,koel__koel,https://github.com/koel/koel,Listener,Create and manage playlists,summary,Listener creates playlists and adds moves or removes songs,Open playlist area | create playlist | add or reorder songs | update playlist metadata,app/Http/Controllers/API/PlaylistController.php | app/Http/Controllers/API/PlaylistSongController.php | app/Http/Controllers/API/MovePlaylistSongsController.php | app/Models/Playlist.php | app/Repositories/PlaylistRepository.php,api/playlists | api/playlists/{playlist}/songs,,,codex_external,checked
Koel,koel__koel,https://github.com/koel/koel,Listener,Favorite songs and media,summary,Listener marks songs or other media as favorites and views favorite songs,Toggle like on song | store favorite | fetch favorite songs list,app/Http/Controllers/API/ToggleLikeSongController.php | app/Http/Controllers/API/FetchFavoriteSongsController.php | app/Http/Controllers/API/FavoriteController.php | app/Models/Favorite.php,api/songs/{song}/like | api/favorites,,,codex_external,checked
Koel,koel__koel,https://github.com/koel/koel,Administrator,Upload music,summary,Administrator uploads song files and resolves duplicate uploads,Open upload workflow | submit song file | detect duplicates | keep or discard duplicate upload,app/Http/Controllers/API/Upload/UploadSongController.php | app/Http/Controllers/API/Upload/FetchDuplicateUploadsController.php | app/Http/Controllers/API/Upload/KeepDuplicateUploadController.php | app/Responses/SongUploadResponse.php,api/upload | api/uploads/duplicates,,,codex_external,checked
Koel,koel__koel,https://github.com/koel/koel,Listener,Download music,summary,Listener downloads selected songs albums artists playlists or favorites,Select downloadable media | check downloadable count | request download archive,app/Http/Controllers/Download/DownloadSongsController.php | app/Http/Controllers/Download/DownloadAlbumController.php | app/Http/Controllers/Download/DownloadPlaylistController.php | app/Http/Controllers/Download/CheckDownloadableCountController.php,download/songs | download/albums/{album} | download/playlists/{playlist},,,codex_external,checked
